product_title,product_price,product_image_src,product_link
Black A-Front Trunks 3 Pack,£9,"https://asda.scene7.com/is/image/Asda/5059196433197?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd","/george/men/underwear/black-a-front-trunks-3-pack/GEM1095681,default,pd.html?cgid=D2M1G10C11"
Boys Black Jersey School Shorts 2 Pack,£5,"https://asda.scene7.com/is/image/Asda/5059196491197?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd","/george/school/sports-swimwear/boys-black-jersey-school-shorts-2-pack/GEM1098319,default,pd.html?cgid=D10M1G1C8"
Boys Light Blue Short Sleeve School Shirts 5 Pack,£8.50,"https://asda.scene7.com/is/image/Asda/5059196120530?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd","/george/school/boys-school-shirts/boys-light-blue-short-sleeve-school-shirts-5-pack/GEM1088005,default,pd.html?cgid=D10M1G1C1"
Grey Briefs 4 Pack,£9,"https://asda.scene7.com/is/image/Asda/5059196434590?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd","/george/men/underwear/grey-briefs-4-pack/GEM1095689,default,pd.html?cgid=D2M1G10C11"
Khaki Strap Lightweight Mesh Trainers,£10,"https://asda.scene7.com/is/image/Asda/5059196088052?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd","/george/kids/shoes/khaki-strap-lightweight-mesh-trainers/GEM1087305,default,pd.html?cgid=D25M1G1C14"
Grey A-Front Trunks 3 Pack,£9,"https://asda.scene7.com/is/image/Asda/5059196461411?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd","/george/men/underwear/grey-a-front-trunks-3-pack/GEM1097879,default,pd.html?cgid=D2M1G10C11"
Boys White Long Sleeve School Shirt 2 Pack,£4.50,"https://asda.scene7.com/is/image/Asda/5059196120417?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd","/george/school/boys-school-shirts/boys-white-long-sleeve-school-shirt-2-pack/GEM1087998,default,pd.html?cgid=D10M1G1C1"
Black Double Strap Leather Scuff Resistant School Shoes,£18,"https://asda.scene7.com/is/image/Asda/5059196462319?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd","/george/school/boys-school-shoes-trainers/black-double-strap-leather-scuff-resistant-school-shoes/GEM1097893,default,pd.html?cgid=D10M20G1C2"
Boys White Short Sleeve School Shirt 5 Pack,£13.50,"https://asda.scene7.com/is/image/Asda/5059196119534?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd","/george/school/boys-school-shirts/boys-white-short-sleeve-school-shirt-5-pack/GEM1087995,default,pd.html?cgid=D10M1G1C1"
Black Triple Strap Cupsole School Shoes,£12,"https://asda.scene7.com/is/image/Asda/5059196059533?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd","/george/school/boys-school-shoes-trainers/black-triple-strap-cupsole-school-shoes/GEM1087037,default,pd.html?cgid=D10M20G1C2"
Colour Block Black Cotton Rich Ankle Socks 5 Pack,£3.50,"https://asda.scene7.com/is/image/Asda/5059196695335?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd","/george/kids/underwear-socks/colour-block-black-cotton-rich-ankle-socks-5-pack/GEM1102567,default,pd.html?cgid=D25M1G1C10"
Days of the Week Cotton Rich Trainer Liner Socks 7 Pack,£3.50,"https://asda.scene7.com/is/image/Asda/5059196697056?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd","/george/kids/underwear-socks/days-of-the-week-cotton-rich-trainer-liner-socks-7-pack/GEM1102583,default,pd.html?cgid=D25M1G1C10"
Colour Block Cotton Rich Trainer Socks 5 Pack,£3,"https://asda.scene7.com/is/image/Asda/5059196696912?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd","/george/kids/underwear-socks/colour-block-cotton-rich-trainer-socks-5-pack/GEM1102581,default,pd.html?cgid=D25M1G1C10"
Senior Boys White Short Sleeve Skinny Fit School Shirt 2 Pack,£8,"https://asda.scene7.com/is/image/Asda/5059196122374?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd","/george/school/boys-school-shirts/senior-boys-white-short-sleeve-skinny-fit-school-shirt-2-pack/GEM1088008,default,pd.html?cgid=D10M1G1C1"
Blue Striped Cotton Rich Ankle Socks 5 Pack,£4,"https://asda.scene7.com/is/image/Asda/5059196695656?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd","/george/kids/underwear-socks/blue-striped-cotton-rich-ankle-socks-5-pack/GEM1102568,default,pd.html?cgid=D25M1G1C10"
Blue Striped Cotton Rich Trainer Liner Socks 5 Pack,£3.50,"https://asda.scene7.com/is/image/Asda/5059196696097?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd","/george/kids/underwear-socks/blue-striped-cotton-rich-trainer-liner-socks-5-pack/GEM1102578,default,pd.html?cgid=D25M1G1C10"
Bright Strap Sporty Panelled Mesh Trainers,£10,"https://asda.scene7.com/is/image/Asda/5059195527699?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd","/george/kids/shoes/bright-strap-sporty-panelled-mesh-trainers/GEM1078742,default,pd.html?cgid=D25M1G1C14"
Feel Fresh Cotton Rich Ankle Socks 7 Pack,£7.50,"https://asda.scene7.com/is/image/Asda/5059195746496?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd","/george/men/socks/feel-fresh-cotton-rich-ankle-socks-7-pack/GEM1082839,default,pd.html?cgid=D2M1G10C18"
White Plain Vests 3 Pack,£10,"https://asda.scene7.com/is/image/Asda/5059194472075?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd","/george/men/underwear/white-plain-vests-3-pack/GEM1033050,default,pd.html?cgid=D2M1G10C11"
Red Antibacterial Cushioned Football Socks 1 Pack,£2,"https://asda.scene7.com/is/image/Asda/5059194694439?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd","/george/kids/underwear-socks/red-antibacterial-cushioned-football-socks-1-pack/GEM1042870,default,pd.html?cgid=D25M1G1C10"
Blue Antibacterial Cushioned Football Socks 1 Pack,£2,"https://asda.scene7.com/is/image/Asda/5059194692831?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd","/george/kids/underwear-socks/blue-antibacterial-cushioned-football-socks-1-pack/GEM1042857,default,pd.html?cgid=D25M1G1C10"
Navy Joggers,£5,"https://asda.scene7.com/is/image/Asda/5059195498616?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd","/george/kids/joggers/navy-joggers/GEM1077335,default,pd.html?cgid=D25M1G1C20"
Boys White Short Sleeve Non Iron School Shirts 2 Pack,£5,"https://asda.scene7.com/is/image/Asda/5059195072694?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd","/george/school/boys-school-shirts/boys-white-short-sleeve-non-iron-school-shirts-2-pack/GEM1055852,default,pd.html?cgid=D10M1G1C1"
